NR_041599.1,Acanthopleuribacter pedis strain NBRC 101209 16S ribosomal RNA,Bacteria; Acidobacteria; Holophagae; Acanthopleuribacterales; Acanthopleuribacteraceae; Acanthopleuribacter; pedis; NBRC 101209
NR_118939.1,Streptococcus pneumoniae strain NCTC 7465 16S ribosomal RNA,Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; pneumoniae; NCTC 7465
NR_115087.1,Streptococcus porci strain 2923-03 16S ribosomal RNA,Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; porci; 2923-03
NR_024634.1,Streptococcus porcinus strain 176 16S ribosomal RNA,Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; porcinus; 176
NR_108477.1,Streptococcus porcorum strain 682/03 16S ribosomal RNA,Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; porcorum; 682/03
NR_116213.1,Streptococcus pseudopneumoniae ATCC BAA-960 = CCUG 49455 16S ribosomal RNA,Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; pseudopneumoniae; ATCC BAA-960 | CCUG 49455
NR_027214.1,Streptococcus pseudopneumoniae strain 108 16S ribosomal RNA,Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; pseudopneumoniae; 108
NR_043704.1,Streptococcus pseudoporcinus LQ 940-04 16S ribosomal RNA,Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; pseudoporcinus; LQ 940-04
NR_028598.1,Streptococcus pyogenes strain I-273 16S ribosomal RNA,Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; pyogenes; I-273
NR_112088.1,Streptococcus pyogenes strain JCM 5674 16S ribosomal RNA,Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; pyogenes; JCM 5674
NR_025516.1,Streptococcus ratti strain ATCC 19645 16S ribosomal RNA,Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; ratti; ATCC 19645
NR_134192.1,Streptococcus rifensis strain CCMM B833 16S ribosomal RNA,Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; rifensis; CCMM B833
NR_109720.1,Streptococcus rubneri strain LMG 27207 16S ribosomal RNA,Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; rubneri; LMG 27207
NR_158064.1,Streptococcus ruminantium strain GUT-187 16S ribosomal RNA,Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; ruminantium; GUT-187
NR_108485.1,Streptococcus rupicaprae strain 2777-2-07 16S ribosomal RNA,Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; rupicaprae; 320502
NR_042776.1,Streptococcus salivarius strain ATCC 7073 16S ribosomal RNA,Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; salivarius; ATCC 7073
NR_126178.1,Streptococcus saliviloxodontae strain NUM 6306 16S ribosomal RNA,Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; saliviloxodontae; NUM 6306
NR_115736.1,Streptococcus sanguinis SK1 = NCTC 7863 16S ribosomal RNA,Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; sanguinis; SK1 | NCTC 7863
NR_111994.1,Streptococcus sanguinis SK1 = NCTC 7863 16S ribosomal RNA,Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; sanguinis; SK1 | NCTC 7863
NR_024841.1,Streptococcus sanguinis SK1 = NCTC 7863 16S ribosomal RNA,Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; sanguinis; SK1 | NCTC 7863
NR_113260.1,Streptococcus sanguinis strain JCM 5708 16S ribosomal RNA,Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; sanguinis; JCM 5708
NR_028833.1,Streptococcus sinensis strain HKU4 16S ribosomal RNA,Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; sinensis; HKU4
NR_042773.1,Streptococcus sobrinus strain ATCC 33478 16S ribosomal RNA,Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; sobrinus; ATCC 33478
NR_118935.1,Streptococcus sobrinus strain DSM 20742 16S ribosomal RNA,Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; sobrinus; DSM 20742
NR_114727.1,Streptococcus sobrinus strain NCTC 12279 16S ribosomal RNA,Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; sobrinus; NCTC 12279
NR_117504.1,Streptococcus suis strain ATCC 43765 16S ribosomal RNA,Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; suis; ATCC 43765
NR_115737.1,Streptococcus suis strain ATCC 43765 16S ribosomal RNA,Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; suis; ATCC 43765
NR_036918.1,Streptococcus suis strain S735 16S ribosomal RNA,Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; suis; S735
NR_134818.1,Streptococcus tangierensis strain CCMM B832 16S ribosomal RNA,Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; tangierensis; CCMM B832
NR_042778.1,Streptococcus thermophilus strain ATCC 19258 16S ribosomal RNA,Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; thermophilus; ATCC 19258
NR_118998.1,Streptococcus thermophilus strain DSM 20617 16S ribosomal RNA,Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; thermophilus; DSM 20617
NR_026368.1,Streptococcus thoraltensis strain S69 16S ribosomal RNA,Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; thoraltensis; S69
NR_113573.1,Streptococcus troglodytae strain TKU 31 16S ribosomal RNA,Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; troglodytae; TKU 31
NR_109371.1,Streptococcus troglodytidis strain M09-11185 16S ribosomal RNA,Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; troglodytidis; M09-11185
NR_040820.1,Streptococcus uberis strain JCM 5709 16S ribosomal RNA,Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; uberis; JCM 5709
NR_115738.1,Streptococcus urinalis strain 2285-97 16S ribosomal RNA,Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; urinalis; 2285-97
NR_037101.1,Streptococcus urinalis strain 2285-97 16S ribosomal RNA,Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; urinalis; 2285-97
NR_112919.1,Streptococcus ursoris strain NUM 1615 16S ribosomal RNA,Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; ursoris; NUM 1615
NR_042777.1,Streptococcus vestibularis ATCC 49124 16S ribosomal RNA,Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; vestibularis; ATCC 49124
NR_118942.1,Streptococcus vestibularis ATCC 49124 strain NCTC 12166 16S ribosomal RNA,Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; vestibularis; ATCC 49124 | NCTC 12166
NR_116792.1,Streptohalobacillus salinus strain H96B60 16S ribosomal RNA,Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Streptohalobacillus; salinus; H96B60
NR_028997.1,Subdoligranulum variabile strain BI 114 16S ribosomal RNA,Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Subdoligranulum; variabile; BI 114
NR_026205.1,Succiniclasticum ruminis strain SE10 16S ribosomal RNA,Bacteria; Firmicutes; Negativicutes; Acidaminococcales; Acidaminococcaceae; Succiniclasticum; ruminis; SE10
NR_028868.1,Succinispira mobilis strain 19gly1 16S ribosomal RNA,Bacteria; Firmicutes; Negativicutes; Acidaminococcales; Acidaminococcaceae; Succinispira; mobilis; 19gly1
NR_074758.1,Sulfobacillus acidophilus DSM 10332 16S ribosomal RNA,Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiales Family XVII. Incertae Sedis; Sulfobacillus; acidophilus; DSM 10332
NR_040943.1,Sulfobacillus acidophilus DSM 10332 16S ribosomal RNA,Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiales Family XVII. Incertae Sedis; Sulfobacillus; acidophilus; DSM 10332
NR_114437.1,Sulfobacillus acidophilus DSM 10332 strain NAL 16S ribosomal RNA,Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiales Family XVII. Incertae Sedis; Sulfobacillus; acidophilus; DSM 10332 | NAL
NR_044352.1,Sulfobacillus benefaciens strain BRGM2 16S ribosomal RNA,Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiales Family XVII. Incertae Sedis; Sulfobacillus; benefaciens; BRGM2
NR_042730.1,Sulfobacillus sibiricus strain N1 16S ribosomal RNA,Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiales Family XVII. Incertae Sedis; Sulfobacillus; sibiricus; N1
NR_040945.1,Sulfobacillus thermosulfidooxidans DSM 9293 16S ribosomal RNA,Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiales Family XVII. Incertae Sedis; Sulfobacillus; thermosulfidooxidans; DSM 9293
NR_119206.1,Sulfobacillus thermosulfidooxidans DSM 9293 strain AT-1 16S ribosomal RNA,Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiales Family XVII. Incertae Sedis; Sulfobacillus; thermosulfidooxidans; DSM 9293 | AT-1
NR_043568.1,Sulfobacillus thermotolerans strain Kr1 16S ribosomal RNA,Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiales Family XVII. Incertae Sedis; Sulfobacillus; thermotolerans; Kr1
NR_158028.1,Swionibacillus sediminis strain BW11-2 16S ribosomal RNA,Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Swionibacillus; sediminis; BW11-2
NR_134208.1,Symbiobacterium ostreiconchae strain KY38 16S ribosomal RNA,Bacteria; Firmicutes; Clostridia; Clostridiales; Symbiobacteriaceae; Symbiobacterium; ostreiconchae; KY38
NR_134209.1,Symbiobacterium terraclitae strain KA13 16S ribosomal RNA,Bacteria; Firmicutes; Clostridia; Clostridiales; Symbiobacteriaceae; Symbiobacterium; terraclitae; KA13
NR_075044.2,Symbiobacterium thermophilum strain IAM 14863 16S ribosomal RNA,Bacteria; Firmicutes; Clostridia; Clostridiales; Symbiobacteriaceae; Symbiobacterium; thermophilum; IAM 14863
NR_134210.1,Symbiobacterium turbinis strain KY46 16S ribosomal RNA,Bacteria; Firmicutes; Clostridia; Clostridiales; Symbiobacteriaceae; Symbiobacterium; turbinis; KY46
NR_116297.1,Syntrophaceticus schinkii strain Sp3 16S ribosomal RNA,Bacteria; Firmicutes; Clostridia; Thermoanaerobacterales; Thermoanaerobacterales Family III. Incertae Sedis; Syntrophaceticus; schinkii; Sp3
NR_074993.1,Syntrophobotulus glycolicus strain DSM 8271 16S ribosomal RNA,Bacteria; Firmicutes; Clostridia; Clostridiales; Peptococcaceae; Syntrophobotulus; glycolicus; DSM 8271
NR_119287.1,Syntrophococcus sucromutans strain DSM 3224 16S ribosomal RNA,Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Syntrophococcus; sucromutans; DSM 3224
NR_118354.1,Syntrophococcus sucromutans strain S195 16S ribosomal RNA,Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Syntrophococcus; sucromutans; S195
NR_036869.2,Syntrophococcus sucromutans strain S195 16S ribosomal RNA,Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Syntrophococcus; sucromutans; S195
NR_104881.1,Syntrophomonas bryantii strain CuCal 16S ribosomal RNA,Bacteria; Firmicutes; Clostridia; Clostridiales; Syntrophomonadaceae; Syntrophomonas; bryantii; CuCal
NR_125510.1,Syntrophomonas cellicola strain 19J-3 16S ribosomal RNA,Bacteria; Firmicutes; Clostridia; Clostridiales; Syntrophomonadaceae; Syntrophomonas; cellicola; 19J-3
NR_025752.1,Syntrophomonas curvata strain GB8-1 16S ribosomal RNA,Bacteria; Firmicutes; Clostridia; Clostridiales; Syntrophomonadaceae; Syntrophomonas; curvata; GB8-1
NR_042954.1,Syntrophomonas erecta strain GB4-38 16S ribosomal RNA,Bacteria; Firmicutes; Clostridia; Clostridiales; Syntrophomonadaceae; Syntrophomonas; erecta; GB4-38
NR_115681.1,Syntrophomonas erecta subsp. sporosyntropha strain 5-3-Z 16S ribosomal RNA,Bacteria; Firmicutes; Clostridia; Clostridiales; Syntrophomonadaceae; Syntrophomonas; erecta; 5-3-Z
NR_112642.1,Syntrophomonas palmitatica strain MPA 16S ribosomal RNA,Bacteria; Firmicutes; Clostridia; Clostridiales; Syntrophomonadaceae; Syntrophomonas; palmitatica; MPA
NR_041528.1,Syntrophomonas palmitatica strain MPA 16S ribosomal RNA,Bacteria; Firmicutes; Clostridia; Clostridiales; Syntrophomonadaceae; Syntrophomonas; palmitatica; MPA
NR_028684.1,Syntrophomonas sapovorans strain OM 16S ribosomal RNA,Bacteria; Firmicutes; Clostridia; Clostridiales; Syntrophomonadaceae; Syntrophomonas; sapovorans; OM
NR_122058.1,Syntrophomonas wolfei strain Goettingen G311 16S ribosomal RNA,Bacteria; Firmicutes; Clostridia; Clostridiales; Syntrophomonadaceae; Syntrophomonas; wolfei; Goettingen G311
NR_115800.1,Syntrophomonas wolfei subsp. methylbutyratica strain 4J5 16S ribosomal RNA,Bacteria; Firmicutes; Clostridia; Clostridiales; Syntrophomonadaceae; Syntrophomonas; wolfei; 4J5
NR_115849.1,Syntrophomonas wolfei subsp. saponavida strain DSM 4212 16S ribosomal RNA,Bacteria; Firmicutes; Clostridia; Clostridiales; Syntrophomonadaceae; Syntrophomonas; wolfei; DSM 4212
NR_044008.1,Syntrophomonas zehnderi OL-4 16S ribosomal RNA,Bacteria; Firmicutes; Clostridia; Clostridiales; Syntrophomonadaceae; Syntrophomonas; zehnderi; OL-4
NG_042070.1,Syntrophothermus lipocalidus culture DSM:12680 16S ribosomal RNA,Bacteria; Firmicutes; Clostridia; Clostridiales; Syntrophomonadaceae; Syntrophothermus; lipocalidus; DSM:12680
NR_118362.1,Syntrophothermus lipocalidus DSM 12680 strain TGB-C1 16S ribosomal RNA,Bacteria; Firmicutes; Clostridia; Clostridiales; Syntrophomonadaceae; Syntrophothermus; lipocalidus; DSM 12680 | TGB-C1
NR_040796.1,Syntrophothermus lipocalidus DSM 12680 strain TGB-C1 16S ribosomal RNA,Bacteria; Firmicutes; Clostridia; Clostridiales; Syntrophomonadaceae; Syntrophothermus; lipocalidus; DSM 12680 | TGB-C1
NR_102767.2,Syntrophothermus lipocalidus strain DSM 12680 16S ribosomal RNA,Bacteria; Firmicutes; Clostridia; Clostridiales; Syntrophomonadaceae; Syntrophothermus; lipocalidus; DSM 12680
NR_132611.1,Tenuibacillus halotolerans strain YIM 94025 16S ribosomal RNA,Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Tenuibacillus; halotolerans; YIM 94025
NR_029096.1,Tenuibacillus multivorans strain 28-1 16S ribosomal RNA,Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Tenuibacillus; multivorans; 28-1
NR_113887.1,Tenuibacillus multivorans strain NBRC 100370 16S ribosomal RNA,Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Tenuibacillus; multivorans; NBRC 100370
NR_116298.1,Tepidanaerobacter acetatoxydans Re1 16S ribosomal RNA,Bacteria; Firmicutes; Clostridia; Thermoanaerobacterales; Thermoanaerobacteraceae; Tepidanaerobacter; acetatoxydans; Re1
NR_074537.1,Tepidanaerobacter acetatoxydans Re1 16S ribosomal RNA,Bacteria; Firmicutes; Clostridia; Thermoanaerobacterales; Thermoanaerobacteraceae; Tepidanaerobacter; acetatoxydans; Re1
NR_040966.1,Tepidanaerobacter syntrophicus strain JL 16S ribosomal RNA,Bacteria; Firmicutes; Clostridia; Thermoanaerobacterales; Thermoanaerobacteraceae; Tepidanaerobacter; syntrophicus; JL
NR_152058.1,Tepidibacillus decaturensis strain Z9 16S ribosomal RNA,Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Tepidibacillus; decaturensis; Z9
NR_125657.1,Tepidibacillus fermentans strain STGH 16S ribosomal RNA,Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Tepidibacillus; fermentans; STGH
NR_151903.1,Tepidibacillus infernus strain MBL-TLP 16S ribosomal RNA,Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Tepidibacillus; infernus; MBL-TLP
NR_029081.1,Tepidibacter formicigenes strain DV1184 16S ribosomal RNA,Bacteria; Firmicutes; Clostridia; Clostridiales; Peptostreptococcaceae; Tepidibacter; formicigenes; DV1184
NR_108539.1,Tepidibacter mesophilus strain B1 16S ribosomal RNA,Bacteria; Firmicutes; Clostridia; Clostridiales; Peptostreptococcaceae; Tepidibacter; mesophilus; B1
NR_025678.1,Tepidibacter thalassicus strain SC 562 16S ribosomal RNA,Bacteria; Firmicutes; Clostridia; Clostridiales; Peptostreptococcaceae; Tepidibacter; thalassicus; SC 562
NR_117380.1,Tepidimicrobium ferriphilum strain DSM 16624 16S ribosomal RNA,Bacteria; Firmicutes; Tissierellia; unclassified Tissierellia; u-f; Tepidimicrobium; ferriphilum; DSM 16624
NR_043077.1,Tepidimicrobium ferriphilum strain SB91 16S ribosomal RNA,Bacteria; Firmicutes; Tissierellia; unclassified Tissierellia; u-f; Tepidimicrobium; ferriphilum; SB91
NR_116042.1,Tepidimicrobium xylanilyticum strain PML14 16S ribosomal RNA,Bacteria; Firmicutes; Tissierellia; unclassified Tissierellia; u-f; Tepidimicrobium; xylanilyticum; PML14
NR_114288.1,Terribacillus aidingensis strain NBRC 105790 16S ribosomal RNA,Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Terribacillus; aidingensis; NBRC 105790
NR_116625.1,Terribacillus aidingensis strain YI7-61 16S ribosomal RNA,Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Terribacillus; aidingensis; YI7-61
NR_043895.1,Terribacillus goriensis strain CL-GR16 16S ribosomal RNA,Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Terribacillus; goriensis; CL-GR16
NR_041357.1,Terribacillus halophilus strain 002-051 16S ribosomal RNA,Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Terribacillus; halophilus; 002-051
NR_041356.1,Terribacillus saccharophilus strain 002-048 16S ribosomal RNA,Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Terribacillus; saccharophilus; 002-048
NR_148762.1,Terrilactibacillus laevilacticus strain NK26-11 16S ribosomal RNA,Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Terrilactibacillus; laevilacticus; NK26-11
NR_119074.1,Terrisporobacter glycolicus ATCC 14880 = DSM 1288 16S ribosomal RNA,Bacteria; Firmicutes; Clostridia; Clostridiales; Peptostreptococcaceae; Terrisporobacter; glycolicus; ATCC 14880 | DSM 1288
NR_104744.1,Terrisporobacter mayombei strain SFC-5 16S ribosomal RNA,Bacteria; Firmicutes; Clostridia; Clostridiales; Peptostreptococcaceae; Terrisporobacter; mayombei; SFC-5
NR_137408.1,Terrisporobacter petrolearius strain LAM0A37 16S ribosomal RNA,Bacteria; Firmicutes; Clostridia; Clostridiales; Peptostreptococcaceae; Terrisporobacter; petrolearius; LAM0A37
NR_108208.1,Tetragenococcus halophilus subsp. flandriensis strain T5 16S ribosomal RNA,Bacteria; Firmicutes; Bacilli; Lactobacillales; Enterococcaceae; Tetragenococcus; halophilus; T5
NR_115655.1,Tetragenococcus halophilus subsp. halophilus DSM 20339 strain JCM 5888 16S ribosomal RNA,Bacteria; Firmicutes; Bacilli; Lactobacillales; Enterococcaceae; Tetragenococcus; halophilus; DSM 20339  | JCM 5888
NR_113252.1,Tetragenococcus halophilus subsp. halophilus DSM 20339 strain JCM 5888 16S ribosomal RNA,Bacteria; Firmicutes; Bacilli; Lactobacillales; Enterococcaceae; Tetragenococcus; halophilus; DSM 20339  | JCM 5888
NR_116417.1,Tetragenococcus halophilus subsp. halophilus DSM 20339 strain LMG 11490 16S ribosomal RNA,Bacteria; Firmicutes; Bacilli; Lactobacillales; Enterococcaceae; Tetragenococcus; halophilus; DSM 20339  | LMG 11490
NR_113914.1,Tetragenococcus halophilus subsp. halophilus DSM 20339 strain NBRC 100498 16S ribosomal RNA,Bacteria; Firmicutes; Bacilli; Lactobacillales; Enterococcaceae; Tetragenococcus; halophilus; DSM 20339  | NBRC 100498
NR_114788.2,Tetragenococcus halophilus subsp. halophilus strain DSM 20339 16S ribosomal RNA,Bacteria; Firmicutes; Bacilli; Lactobacillales; Enterococcaceae; Tetragenococcus; halophilus; DSM 20339
NR_122102.1,Tetragenococcus halophilus subsp. halophilus strain IAM 1676 16S ribosomal RNA,Bacteria; Firmicutes; Bacilli; Lactobacillales; Enterococcaceae; Tetragenococcus; halophilus; IAM 1676
NR_043113.1,Tetragenococcus koreensis strain JS 16S ribosomal RNA,Bacteria; Firmicutes; Bacilli; Lactobacillales; Enterococcaceae; Tetragenococcus; koreensis; JS
NR_116418.1,Tetragenococcus muriaticus strain LMG 18498 16S ribosomal RNA,Bacteria; Firmicutes; Bacilli; Lactobacillales; Enterococcaceae; Tetragenococcus; muriaticus; LMG 18498
NR_113915.1,Tetragenococcus muriaticus strain NBRC 100499 16S ribosomal RNA,Bacteria; Firmicutes; Bacilli; Lactobacillales; Enterococcaceae; Tetragenococcus; muriaticus; NBRC 100499
NR_025887.1,Tetragenococcus muriaticus strain X-1 16S ribosomal RNA,Bacteria; Firmicutes; Bacilli; Lactobacillales; Enterococcaceae; Tetragenococcus; muriaticus; X-1
NR_108204.1,Tetragenococcus osmophilus strain T1 16S ribosomal RNA,Bacteria; Firmicutes; Bacilli; Lactobacillales; Enterococcaceae; Tetragenococcus; osmophilus; T1
NR_036926.1,Tetragenococcus solitarius strain 885-78 16S ribosomal RNA,Bacteria; Firmicutes; Bacilli; Lactobacillales; Enterococcaceae; Tetragenococcus; solitarius; 885-78
NR_114451.1,Tetragenococcus solitarius strain ATCC 49428 16S ribosomal RNA,Bacteria; Firmicutes; Bacilli; Lactobacillales; Enterococcaceae; Tetragenococcus; solitarius; ATCC 49428
NR_113910.1,Tetragenococcus solitarius strain NBRC 100494 16S ribosomal RNA,Bacteria; Firmicutes; Bacilli; Lactobacillales; Enterococcaceae; Tetragenococcus; solitarius; NBRC 100494
NR_132294.1,Texcoconibacillus texcoconensis strain 13CC 16S ribosomal RNA,Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Texcoconibacillus; texcoconensis; 13CC
NR_116915.1,Thalassobacillus cyri strain HS286 16S ribosomal RNA,Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Thalassobacillus; cyri; HS286
NR_042273.1,Thalassobacillus devorans strain G-19.1 16S ribosomal RNA,Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Thalassobacillus; devorans; G-19.1
NR_104552.1,Thalassobacillus hwangdonensis strain AD-1 16S ribosomal RNA,Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Thalassobacillus; hwangdonensis; AD-1
NR_104553.1,Thalassobacillus pellis strain 18OM 16S ribosomal RNA,Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Thalassobacillus; pellis; 18OM
NR_074723.1,Thermacetogenium phaeum DSM 12270 16S ribosomal RNA,Bacteria; Firmicutes; Clostridia; Thermoanaerobacterales; Thermoanaerobacteraceae; Thermacetogenium; phaeum; DSM 12270
NR_024688.1,Thermacetogenium phaeum DSM 12270 strain PB 16S ribosomal RNA,Bacteria; Firmicutes; Clostridia; Thermoanaerobacterales; Thermoanaerobacteraceae; Thermacetogenium; phaeum; DSM 12270 | PB
NR_112810.2,Thermaerobacter composti JCM 15650 strain Ni80 16S ribosomal RNA,Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiales Family XVII. Incertae Sedis; Thermaerobacter; composti; JCM 15650 | Ni80
NR_043281.1,Thermaerobacter litoralis strain KW1 16S ribosomal RNA,Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiales Family XVII. Incertae Sedis; Thermaerobacter; litoralis; KW1
NR_024672.1,Thermaerobacter marianensis DSM 12885 strain 7p75a 16S ribosomal RNA,Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiales Family XVII. Incertae Sedis; Thermaerobacter; marianensis; DSM 12885 | 7p75a
NR_074944.1,Thermaerobacter marianensis strain DSM 12885 16S ribosomal RNA,Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiales Family XVII. Incertae Sedis; Thermaerobacter; marianensis; DSM 12885
NR_024776.1,Thermaerobacter nagasakiensis strain JCM 11223 16S ribosomal RNA,Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiales Family XVII. Incertae Sedis; Thermaerobacter; nagasakiensis; JCM 11223
NR_028814.1,Thermaerobacter subterraneus strain C21 16S ribosomal RNA,Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiales Family XVII. Incertae Sedis; Thermaerobacter; subterraneus; C21
NR_147776.1,Thermanaeromonas burensis strain IA 106 16S ribosomal RNA,Bacteria; Firmicutes; Clostridia; Thermoanaerobacterales; Thermoanaerobacteraceae; Thermanaeromonas; burensis; IA 106
NR_024777.1,Thermanaeromonas toyohensis ToBE 16S ribosomal RNA,Bacteria; Firmicutes; Clostridia; Thermoanaerobacterales; Thermoanaerobacteraceae; Thermanaeromonas; toyohensis; ToBE
NR_025355.1,Thermicanus aegyptius strain ET-5b 16S ribosomal RNA,Bacteria; Firmicutes; Bacilli; Bacillales; Bacillales Family X. Incertae Sedis; Thermicanus; aegyptius; ET-5b
NR_043010.1,Thermincola carboxydiphila strain 2204 16S ribosomal RNA,Bacteria; Firmicutes; Clostridia; Clostridiales; Peptococcaceae; Thermincola; carboxydiphila; 2204
NR_043042.1,Thermincola ferriacetica strain Z-0001 16S ribosomal RNA,Bacteria; Firmicutes; Clostridia; Clostridiales; Peptococcaceae; Thermincola; ferriacetica; Z-0001
NR_118583.1,Thermoactinomyces daqus strain H-18 16S ribosomal RNA,Bacteria; Firmicutes; Bacilli; Bacillales; Thermoactinomycetaceae; Thermoactinomyces; daqus; H-18
NR_137211.1,Thermoactinomyces guangxiensis strain CD-1 16S ribosomal RNA,Bacteria; Firmicutes; Bacilli; Bacillales; Thermoactinomycetaceae; Thermoactinomyces; guangxiensis; CD-1
NR_114738.1,Thermoactinomyces intermedius strain ATCC 33205 16S ribosomal RNA,Bacteria; Firmicutes; Bacilli; Bacillales; Thermoactinomycetaceae; Thermoactinomyces; intermedius; ATCC 33205
NR_041760.1,Thermoactinomyces intermedius strain KCTC 9646 16S ribosomal RNA,Bacteria; Firmicutes; Bacilli; Bacillales; Thermoactinomycetaceae; Thermoactinomyces; intermedius; KCTC 9646
NR_149199.1,Thermoactinomyces khenchelensis strain T36 16S ribosomal RNA,Bacteria; Firmicutes; Bacilli; Bacillales; Thermoactinomycetaceae; Thermoactinomyces; khenchelensis; T36
NR_114467.1,Thermoactinomyces vulgaris strain ATCC 43649 16S ribosomal RNA,Bacteria; Firmicutes; Bacilli; Bacillales; Thermoactinomycetaceae; Thermoactinomyces; vulgaris; ATCC 43649
